nama_sppg,alamat,provinsi,kab_kota,kecamatan,desa
"SPPG Bogor Tajurhalang Tonjong 2","Kampung Jati Pondokno. 59, Desa Kalisuren, Tonjong, Kec. Tajurhalang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAJURHALANG","TONJONG"
"SPPG Bogor Pamijahan Gunungbunder II","JL. Alun - Alun Kuta Genggelang, Kp. Ibu RT 005, RW 001","JAWA BARAT","BOGOR","PAMIJAHAN","GUNUNGBUNDER II"
"SPPG Bogor Cigombong Srogol 3","Kampung Pangarakan No. 100, RT.017, RW.006, Desa Srogol, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","SROGOL"
"SPPG Bogor Sukaraja Pasir Jambu","Kp. Tunggilis Pangkalan III No. 66 RT. 002 RW. 008 Kel. Pasir Jambu Kec. Sukaraja Kab. Bogor","JAWA BARAT","BOGOR","SUKARAJA","PASIR JAMBU"
"SPPG Bogor Sukaraja Sukaraja","Jl. Sukaraja No. 06 RT 01/RW 07, Sukaraja Kec. Sukaraja Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","SUKARAJA"
"SPPG Bogor Cijeruk Cipelang","Desa Cipelang, Kecamatan Cijeruk, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","CIPELANG"
"SPPG Bogor Gunung Putri Bojong Nangka 3","Kampung Bojong Nangka Rt 016/008, Desa Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Bogor Caringin Ciderum 1","Jl. Ps. Cikereteg, Kp. Ciletuh Rt 02/02, Desa Ciderum, Kecamatan Caringin, Kabupaten Bogor Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","CIDERUM"
"SPPG Bogor Tajurhalang Tonjong 2","Kampung Jati Pondokno. 59, Desa Kalisuren, Tonjong, Kec. Tajurhalang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAJURHALANG","TONJONG"
"SPPG Bogor Sukaraja Pasir Jambu","Kp. Tunggilis Pangkalan III No. 66 RT. 002 RW. 008 Kel. Pasir Jambu Kec. Sukaraja Kab. Bogor","JAWA BARAT","BOGOR","SUKARAJA","PASIR JAMBU"
"SPPG Bogor Sukaraja Sukaraja","Jl. Sukaraja No. 06 RT 01/RW 07, Sukaraja Kec. Sukaraja Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","SUKARAJA"
"SPPG Bogor Gunung Putri Bojong Nangka 3","Kampung Bojong Nangka Rt 016/008, Desa Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Bogor Cijeruk Cipelang","Desa Cipelang, Kecamatan Cijeruk, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","CIPELANG"
"SPPG Bogor Caringin Ciderum 1","Jl. Ps. Cikereteg, Kp. Ciletuh Rt 02/02, Desa Ciderum, Kecamatan Caringin, Kabupaten Bogor Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","CIDERUM"
"SPPG Bogor Klapanunggal Bojong 3","Jl. Raya Cileungsi Km 22 Kampung Rawa Jeler Rt. 02 Rw. 01 No. 77 Desa Bojong, Kec. Klapa Nunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","BOJONG"
"SPPG Bogor Parung Warujaya 2","Jalan H Mawi Gg Serius Rt 01/ Rw 03 Lembah Puri Husada, Warujaya, Parung, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG","WARUJAYA"
"SPPG Kota Bogor Bogor Barat Menteng 1","Jl. Tentara Pelajar Gg. Kayu Manis No. 2, RT 03/RW 15, Menteng, Kec. Bogor Barat, kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","MENTENG"
"SPPG Kota Bogor Tanah Sareal Mekar Wangi 5","Jl. Kh. Ahmad SyaYan Kampung Sumurwangi Rt03 Rw05 Kel. Mekarwangi, Kec. Tanahsareal, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","MEKAR WANGI"
"SPPG Bogor Parung Jabonmekar","Jl. Raya Parung Bogor No.11, Ruko Ruby A2, Jabon Mekar, Kec. Parung, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG","JABONMEKAR"
"SPPG Bogor Rumpin Rumpin","Pabuaran Asri Blok A6 No 7 RT 05 RW 08","JAWA BARAT","BOGOR","RUMPIN","RUMPIN"
"SPPG Bogor Cijeruk Cipelang","Desa Cipelang, Kecamatan Cijeruk, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","CIPELANG"
"SPPG Bogor Sukaraja Sukaraja","Jl. Sukaraja No. 06 RT 01/RW 07, Sukaraja Kec. Sukaraja Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","SUKARAJA"
"SPPG Bogor Ciampea Cicadas 2","Kampung Cicadas Rt 001 Rw 002 Desa Cicadas, Kecamatan Ciampea, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","CICADAS"
"SPPG Bogor Ciawi Jambuluwuk","KP Karakal RT 02 RW 06 Desa Jambu luwuk, Kec Ciawi, Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAWI","JAMBULUWUK"
"SPPG Bogor Gunung Putri Bojong Nangka 3","Kampung Bojong Nangka Rt 016/008, Desa Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Kota Bogor Tanah Sareal Kedung Waringin","Jl. Pesantren No 6 Rt 002/Rw 007, Kel. Tanah Sereal, Kecamatan Kedung Waringin, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEDUNG WARINGIN"
"SPPG Kota Bogor Bogor Selatan Harjasari 2","Babakan Indah Rt. 3/Rw 3, Harjasari, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","HARJASARI"
"SPPG Bogor Dramaga Ciherang 2","Jl. Raya Dramaga Km 06-07 Rt 001 Rw 003, Ciherang, Kec. Dramaga, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","CIHERANG"
"SPPG Kota Bogor Tanah Sareal Kebon Pedes","Jl. Pd. Rumput I no. 55 RT 5 RW 12 Kel. Kebon Pedes, Kec. Tanah Sareal, Kota Bogor","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEBON PEDES"
"SPPG Bogor Klapanunggal Cikahuripan","Jl. Hikmah Agung Blok C4 Cikahuripan Kec. Klapanunggal Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","CIKAHURIPAN"
"SPPG Bogor Pamijahan Cibening","Kp. Sindang Pala Rt. 04 Rw. 04 Ds. Cibening Kec. Pamijahan Kab. Bogor","JAWA BARAT","BOGOR","PAMIJAHAN","CIBENING"
"SPPG Bogor Caringin Tangkil","Jalan Tangkil Nomor 123, Desa/Kelurahan Tangkil, Kec. Caringin, Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","TANGKIL"
"SPPG Bogor Pamijahan Pamijahan 4","Jl. Kh. Abdul Hamid No.79, Pamijahan, Kec. Pamijahan, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","PAMIJAHAN"
"SPPG Kota Bogor Bogor Selatan Pamoyanan 1","Pasar Pamoyanan, Rt.02/Rw.02, Pamoyanan, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","PAMOYANAN"
"SPPG Bogor Bojong Gede Susukan 2","Jl. Baru Bomang Kampung Warung Jambu, Bambu Kuning, Rt 3 Rw 8, Susukan, Kec. Bojong Gede, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","SUSUKAN"
"SPPG Bogor Dramaga Ciherang 2","Jl. Raya Dramaga Km 06-07 Rt 001 Rw 003, Ciherang, Kec. Dramaga, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","CIHERANG"
"SPPG Kota Bogor Tanah Sareal Kedung Waringin","Jl. Pesantren No 6 Rt 002/Rw 007, Kel. Tanah Sereal, Kecamatan Kedung Waringin, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEDUNG WARINGIN"
"SPPG Kota Bogor Bogor Selatan Harjasari 2","Babakan Indah Rt. 3/Rw 3, Harjasari, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","HARJASARI"
"SPPG Kota Bogor Bogor Barat Pasir Kuda","Jl. Aria Surialaga, Rt.02/Rw.04, Pasirkuda, Kec. Bogor Barat Kota Bogor, Jawa Barat 16119","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","PASIR KUDA"
"SPPG Kota Bogor Bogor Selatan Pamoyanan 1","Pasar Pamoyanan, Rt.02/Rw.02, Pamoyanan, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","PAMOYANAN"
"SPPG Bogor Pamijahan Pamijahan 4","Jl. Kh. Abdul Hamid No.79, Pamijahan, Kec. Pamijahan, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","PAMIJAHAN"
"SPPG Bogor Ciomas Laladon","Jl Sawah Baru No 11, Kp Parung Jambu","JAWA BARAT","BOGOR","CIOMAS","LALADON"
"SPPG Bogor Pamijahan Cibening","Kp. Sindang Pala Rt. 04 Rw. 04 Ds. Cibening Kec. Pamijahan Kab. Bogor","JAWA BARAT","BOGOR","PAMIJAHAN","CIBENING"
"SPPG Bogor Kemang Jampang 4","Jl. Mad Nur No.Rt 04/04, Jampang, Kecamatan Kemang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","KEMANG","JAMPANG"
"SPPG Bogor Caringin Tangkil","Jalan Tangkil Nomor 123, Desa/Kelurahan Tangkil, Kec. Caringin, Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","TANGKIL"
"SPPG Kota Bogor Bogor Selatan Harjasari 2","Babakan Indah Rt. 3/Rw 3, Harjasari, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","HARJASARI"
"SPPG Bogor Bojong Gede Susukan 2","Jl. Baru Bomang Kampung Warung Jambu, Bambu Kuning, Rt 3 Rw 8, Susukan, Kec. Bojong Gede, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","SUSUKAN"
"SPPG Kota Bogor Tanah Sareal Kedung Waringin","Jl. Pesantren No 6 Rt 002/Rw 007, Kel. Tanah Sereal, Kecamatan Kedung Waringin, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEDUNG WARINGIN"
"SPPG Bogor Pamijahan Cibunian","Kampung Cipatat 1 Rt.03 Rw. 04 Desa Cibunian, Kecamatan Pamijahan, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","CIBUNIAN"
"SPPG Kota Bogor Tanah Sareal Kebon Pedes","Jl. Pd. Rumput I no. 55 RT 5 RW 12 Kel. Kebon Pedes, Kec. Tanah Sareal, Kota Bogor","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEBON PEDES"
"SPPG Kota Bogor Bogor Barat Pasir Kuda","Jl. Aria Surialaga, Rt.02/Rw.04, Pasirkuda, Kec. Bogor Barat Kota Bogor, Jawa Barat 16119","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","PASIR KUDA"
"SPPG Kota Bogor Bogor Selatan Pamoyanan 1","Pasar Pamoyanan, Rt.02/Rw.02, Pamoyanan, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","PAMOYANAN"
"SPPG Bogor Caringin Tangkil","Jalan Tangkil Nomor 123, Desa/Kelurahan Tangkil, Kec. Caringin, Kab. Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","TANGKIL"
"SPPG Bogor Kemang Jampang 4","Jl. Mad Nur No.Rt 04/04, Jampang, Kecamatan Kemang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","KEMANG","JAMPANG"
"SPPG Bogor Pamijahan Gunung Picung","Rt. 03 Rw. 02 Kp. Susukan Ds. Gunung Picung Kec. Pamijahan Bogor","JAWA BARAT","BOGOR","PAMIJAHAN","GUNUNG PICUNG"
"SPPG Bogor Cibinong Karadenan 4","Kaum Pandak RT 004 / RW 009, KelurahanKaradenan, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","KARADENAN"
"SPPG Bogor Klapanunggal Ligarmukti","Jl. Kavling Inkopau, Bojong Linggar Mukti Kav 8. Desa Ligarmukti, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","LIGARMUKTI"
"SPPG Bogor Cijeruk Sukaharja 2","Kampung Pasiran Tengah Rt 04 Rw 04, Sukaharja, Kec. Cijeruk, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","SUKAHARJA"
"SPPG Bogor Gunung Putri Karanggan","Perumahan Gunung Putri, Jl. Nanas IV RT. 002/RW. 011 Desa Karanggan Kec. Gunung Putri Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","KARANGGAN"
"SPPG Bogor Rumpin Cidokom 2","Kampung Lebak Ela Rt.004/010, Cidokom, Kec. Rumpin, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","RUMPIN","CIDOKOM"
"SPPG Bogor Bojong Gede Cimanggis 2","Jl. Rajawali Bilabong Permai, Desa Cimanggis, Kec. Bojong Gede, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","CIMANGGIS"
"SPPG Bogor Cijeruk Sukaharja 2","Kampung Pasiran Tengah Rt 04 Rw 04, Sukaharja, Kec. Cijeruk, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","SUKAHARJA"
"SPPG Bogor Pamijahan Gunung Picung","Rt. 03 Rw. 02 Kp. Susukan Ds. Gunung Picung Kec. Pamijahan Bogor","JAWA BARAT","BOGOR","PAMIJAHAN","GUNUNG PICUNG"
"SPPG Bogor Cibinong Karadenan 4","Kaum Pandak RT 004 / RW 009, KelurahanKaradenan, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","KARADENAN"
"SPPG Bogor Leuwisadeng Kalong II","Kampung Kalong II Rt 001 Rw 002, Kalong II, Kec. Leuwisadeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWISADENG","KALONG II"
"SPPG Bogor Klapanunggal Ligarmukti","Jl. Kavling Inkopau, Bojong Linggar Mukti Kav 8. Desa Ligarmukti, Kec. Klapanunggal, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KLAPANUNGGAL","LIGARMUKTI"
"SPPG Bogor Citeureup Puspasari","Perumahan Taman Kenari Jagorawi, Blok IV C Nomor 44, Desa Puspasari, Kecamatan Citeureup, Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","PUSPASARI"
"SPPG Bogor Cibungbulang Cibatok I 2","Jl. Citoh Raya, Cibatok I, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","CIBATOK I"
"SPPG Bogor Citeureup Puspasari","Perumahan Taman Kenari Jagorawi, Blok IV C Nomor 44, Desa Puspasari, Kecamatan Citeureup, Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","PUSPASARI"
"SPPG Bogor Cariu Cariu","Kampung Tegal Racak RT 018 RW 007, Kelurahan Cariu, Kecamatan Cariu, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARIU","CARIU"
"SPPG Bogor Cibinong Nanggewer 1","Jl Roda Pembangunan no 17 RT 007/ RW 006","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER"
"SPPG Bogor Leuwisadeng Kalong II","Kampung Kalong II Rt 001 Rw 002, Kalong II, Kec. Leuwisadeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWISADENG","KALONG II"
"SPPG Kota Bogor Bogor Tengah Sempur","Jl. Sempur Kaler No. 47 Rt 004 Rw 002 Kelurahan Sempur, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","SEMPUR"
"SPPG Bogor Cibungbulang Cibatok I 2","Jl. Citoh Raya, Cibatok I, Kecamatan Cibungbulang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBUNGBULANG","CIBATOK I"
"SPPG Bogor Tanjungsari Sukarasa","Kampung Pasir Angin Rt 007 Rw 004, Sukarasa, Kec. Tanjungsari, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TANJUNGSARI","SUKARASA"
"SPPG Bogor Ciseeng Babakan 2","Kampung Babakan Kulon Rt.03/01 Kec. Ciseeng Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISEENG","BABAKAN"
"SPPG Bogor Cijeruk Sukaharja 2","Kampung Pasiran Tengah Rt 04 Rw 04, Sukaharja, Kec. Cijeruk, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","SUKAHARJA"
"SPPG Bogor Tajurhalang Tonjong 3","Jl. Raya Tonjong No 21 Rt. 01/10 Kec. Tajurhalang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAJURHALANG","TONJONG"
"SPPG Bogor Pamijahan Gunung Picung","Rt. 03 Rw. 02 Kp. Susukan Ds. Gunung Picung Kec. Pamijahan Bogor","JAWA BARAT","BOGOR","PAMIJAHAN","GUNUNG PICUNG"
"SPPG Bogor Rumpin Cidokom 2","Kampung Lebak Ela Rt.004/010, Cidokom, Kec. Rumpin, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","RUMPIN","CIDOKOM"
"SPPG Bogor Cileungsi Cileungsi Kidul","Jl.Raya Cileungsi Jonggol Km 1, Cileungsi, Bogor, Cileungsi Kidul, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI KIDUL"
"SPPG Bogor Kemang Atang Senjaya","Jl. Rusdarmoyo Blok C RT 01/09 Kel. Atang Senjaya Kec. Kemang Kab. Bogor","JAWA BARAT","BOGOR","KEMANG","ATANG SENJAYA"
"SPPG Bogor Ciampea Cibadak","Jl. Dramaga Pratama Raya-1, CIBADAK, CIAMPEA, KAB. BOGOR, JAWA BARAT","JAWA BARAT","BOGOR","CIAMPEA","CIBADAK"
"SPPG Bogor Caringin Pancawati","Jl. Veteran 1, Legok Nyenang, Ds. Pancawati, Kec. Caringin, Kab. Bogor","JAWA BARAT","BOGOR","CARINGIN","PANCAWATI"
"SPPG Bogor Gunung Putri Bojong Nangka 4","Jl. Pancasila No 10 Rt 34 Rw 15 Kampung Cikuda, Desa Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Bogor Citeureup Sanja 2","Sanja, Kecamatan Citeureup, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","SANJA"
"SPPG Bogor Sukaraja Cijujung 2","Cijujung, Kecamatan Sukaraja, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","CIJUJUNG"
"SPPG Bogor Leuwiliang Leuwimekar 2","Kavling A, Kampung Sukamulya, Rt 003 Rw 001, Leuwimekar, Kec. Leuwiliang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","LEUWIMEKAR"
"SPPG Bogor Kemang Atang Senjaya","Jl. Rusdarmoyo Blok C RT 01/09 Kel. Atang Senjaya Kec. Kemang Kab. Bogor","JAWA BARAT","BOGOR","KEMANG","ATANG SENJAYA"
"SPPG Bogor Ciampea Cibadak","Jl. Dramaga Pratama Raya-1, CIBADAK, CIAMPEA, KAB. BOGOR, JAWA BARAT","JAWA BARAT","BOGOR","CIAMPEA","CIBADAK"
"SPPG Bogor Cileungsi Situsari","Jl. Cipeucang, Kelurahan Situsari, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","SITUSARI"
"SPPG Bogor Kemang Jampang 3","Jl. Kampung Jampang No.37, Rt.1/Rw.5, Jampang, Kec. Kemang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KEMANG","JAMPANG"
"SPPG Bogor Caringin Pancawati","Jl. Veteran 1, Legok Nyenang, Ds. Pancawati, Kec. Caringin, Kab. Bogor","JAWA BARAT","BOGOR","CARINGIN","PANCAWATI"
"SPPG Bogor Gunung Putri Bojong Nangka 4","Jl. Pancasila No 10 Rt 34 Rw 15 Kampung Cikuda, Desa Bojong Nangka, Kec. Gunung Putri, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Bogor Citeureup Sanja 2","Sanja, Kecamatan Citeureup, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","SANJA"
"SPPG Bogor Citeureup Gunungsari","Kampung Tonggoh RT 005 RW 001, Desa Gunungsari, Kecamatan Citeureup, Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","GUNUNGSARI"
"SPPG Bogor Sukaraja Cijujung 2","Cijujung, Kecamatan Sukaraja, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","CIJUJUNG"
"SPPG Bogor Leuwiliang Leuwimekar 2","Kavling A, Kampung Sukamulya, Rt 003 Rw 001, Leuwimekar, Kec. Leuwiliang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","LEUWIMEKAR"
"SPPG Bogor Kemang Atang Senjaya","Jl. Rusdarmoyo Blok C RT 01/09 Kel. Atang Senjaya Kec. Kemang Kab. Bogor","JAWA BARAT","BOGOR","KEMANG","ATANG SENJAYA"
"SPPG Bogor Jonggol Bendungan","Jl. Raya Jonggol, Desa Bendungan, Kampung Sawah Gang Nias, Rt002/06 No. 103 Kec. Jonggol, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","JONGGOL","BENDUNGAN"
"SPPG Bogor Citeureup Sanja 2","Sanja, Kecamatan Citeureup, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CITEUREUP","SANJA"
"SPPG Kota Bogor Bogor Selatan Batu Tulis 2","Jl. Siliwangi Nomor Blk 96 Rt 02 Rw 01 Kelurahan Batutulis, Kecamatan Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","BATU TULIS"
"SPPG Bogor Cileungsi Mekarsari","Jl. Kampung Cipicung, Gang Acoy, Rt 12 Rw 05, Desa Mekarsari, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","MEKARSARI"
"SPPG Bogor Ciawi Banjar Wangi","Jl. Pekan Baru Kavling Usu No. 46 Rt 01/02 Desa Banjar Wangi Kecamatan Ciawi Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAWI","BANJAR WANGI"
"SPPG Kota Bogor Bogor Tengah Paledang 4","Kota Bogor, Rw.02, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","PALEDANG"
"SPPG Bogor Sukaraja Cijujung 2","Cijujung, Kecamatan Sukaraja, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKARAJA","CIJUJUNG"
"SPPG Bogor Caringin Pancawati","Jl. Veteran 1, Legok Nyenang, Ds. Pancawati, Kec. Caringin, Kab. Bogor","JAWA BARAT","BOGOR","CARINGIN","PANCAWATI"
"SPPG Kota Bogor Bogor Barat Marga Jaya 2","Jl. Raya Darmaga Km 7, Rt03/ Rw 01, Margajaya, Kec. Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","MARGA JAYA"
"SPPG Bogor Ciseeng Putat Nutug 2","Jl. H. Miing Desa No. 2 Rt 04 Rw 02 Putat Nutug, Kec. Ciseeng Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISEENG","PUTAT NUTUG"
"SPPG Kota Bogor Bogor Barat Semplak 3","Jl. Semplak Raya No. 274, Rt 01 Rw 04, Kel Semplak, Kec. Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","SEMPLAK"
"SPPG Bogor Ranca Bungur Cimulang","Kampung Ciakar RT 002, RW 004","JAWA BARAT","BOGOR","RANCA BUNGUR","CIMULANG"
"SPPG Bogor Cariu Babakanraden","Kampung Babakan Lajiah Rt 002 Rw 003 Desa Babakan Raden, Kec. Cariu, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARIU","BABAKANRADEN"
"SPPG Bogor Ciawi Banjar Wangi","Jl. Pekan Baru Kavling Usu No. 46 Rt 01/02 Desa Banjar Wangi Kecamatan Ciawi Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAWI","BANJAR WANGI"
"SPPG Bogor Dramaga Dramaga 4","Jl. Lingkar Dramaga, Dramaga, Kec. Dramaga, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","DRAMAGA","DRAMAGA"
"SPPG Bogor Jonggol Singasari","Jl. Cihaur, Singasari, Kecamatan Joggol, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","JONGGOL","SINGASARI"
"SPPG Bogor Kemang Pabuaran","Kampung Pabuaran Kaum No 57, Pabuaran, Kec. Kemang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KEMANG","PABUARAN"
"SPPG Bogor Kemang Atang Senjaya","Jl. Rusdarmoyo Blok C RT 01/09 Kel. Atang Senjaya Kec. Kemang Kab. Bogor","JAWA BARAT","BOGOR","KEMANG","ATANG SENJAYA"
"SPPG Bogor Tamansari Sukamantri 1","Jl. Kp. Nyalindung No.1, RT.02/RW.05, Sukamantri, Kec. Tamansari, Kabupaten Bogor, Jawa Barat 16610","JAWA BARAT","BOGOR","TAMANSARI","SUKAMANTRI"
"SPPG Kota Bogor Tanah Sareal Kedung Badak 2","JL. SHOLEH ISKANDAR, RT 004 RW 009, KELURAHAN KEDUNG BADAK, KECAMATAN TANAH SAREAL, KOTA BOGOR, JAWA BARAT","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","KEDUNG BADAK"
"SPPG Kota Bogor Bogor Barat Marga Jaya","Jl. Raya Dramaga No.1, Margajaya, Kec. Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","MARGA JAYA"
